"Product ID","Product Name","Brand","Price","MRP","Discount","Size","Available","Stock Quantity","URL","Error"
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","26","Yes","2","https://www.myntra.com/38461906",""
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","28","Yes","2","https://www.myntra.com/38461906",""
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","30","Yes","2","https://www.myntra.com/38461906",""
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","32","Yes","2","https://www.myntra.com/38461906",""
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","34","Yes","2","https://www.myntra.com/38461906",""
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","36","Yes","2","https://www.myntra.com/38461906",""