"Product ID","Product Name","Brand","Price","MRP","Discount","Size","Available","Stock Quantity","URL","Error"
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","26","Yes","2","https://www.myntra.com/38461906",""
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","28","Yes","2","https://www.myntra.com/38461906",""
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","30","Yes","2","https://www.myntra.com/38461906",""
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","32","Yes","2","https://www.myntra.com/38461906",""
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","34","Yes","2","https://www.myntra.com/38461906",""
"38461906","Bene Kleed Women Cotton Mini A-Line Bow Skirts","Bene Kleed","699","1599","56%","36","Yes","2","https://www.myntra.com/38461906",""
"38461459","Bene Kleed Men Typography Printed T-shirt","Bene Kleed","850","2299","63%","S","Yes","5","https://www.myntra.com/38461459",""
"38461459","Bene Kleed Men Typography Printed T-shirt","Bene Kleed","850","2299","63%","M","Yes","2","https://www.myntra.com/38461459",""
"38461459","Bene Kleed Men Typography Printed T-shirt","Bene Kleed","850","2299","63%","L","Yes","5","https://www.myntra.com/38461459",""
"38461459","Bene Kleed Men Typography Printed T-shirt","Bene Kleed","850","2299","63%","XL","Yes","5","https://www.myntra.com/38461459",""
"38461459","Bene Kleed Men Typography Printed T-shirt","Bene Kleed","850","2299","63%","XXL","No","0","https://www.myntra.com/38461459",""
"38461459","Bene Kleed Men Typography Printed T-shirt","Bene Kleed","850","2299","63%","3XL","No","0","https://www.myntra.com/38461459",""